ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
78	16,19,25,45	6,1,4,14	20,14,21,19,6	2,0,0,0,1	298	149
83	0,1,0,2	0,0,0,0	0,2,0,0,0	0,2,0,0,0	298	149
85	0,0,0,0	0,0,2,1	0,2,10,0,8	0,20,3,0,0	203	149
86	0,8,10,7	2,0,22,0	0,8,12,12,0	0,2,2,2,0	207	149
87	37,163,310,197	29,71,150,79	171,184,191,239,177	210,358,189,446,414	230	149
88	6,27,48,69	0,0,0,0	9,59,17,24,21	0,1,0,0,0	298	149
89	1,0,22,0	1,16,0,0	6,4,0,2,6	0,2,0,12,1	298	149
91	2,2,7,2	0,0,20,0	0,2,4,2,2	0,4,0,7,2	223	149
92	243,221,248,588	3,1,15,7	69,116,139,151,92	0,2,0,6,0	298	149
93	393,801,1300,595	31,51,177,59	772,864,904,1087,769	45,68,70,91,41	210	149
94	19,32,62,17	100,330,120,190	16,28,25,51,50	219,548,278,448,460	150	149
95	108,205,195,250	14,17,16,9	185,303,250,317,366	8,61,30,28,50	209	149
96	443,1431,721,1342	0,11,0,8	464,859,845,905,806	0,4,0,0,0	298	149
97	185,815,375,826	15,93,18,111	262,416,302,435,369	46,26,48,29,43	298	149
98	502,1492,842,1406	2,0,2,8	490,883,1022,1072,788	0,4,4,0,0	298	149
99	244,876,496,890	52,276,104,183	288,440,479,600,351	147,315,352,457,335	298	149
100	410,1259,797,1236	61,152,132,78	469,1018,1032,1107,850	36,28,51,60,35	298	149
101	152,643,451,720	36,40,32,30	267,575,489,637,413	32,19,36,47,20	298	149
102	188,256,71,389	42,149,65,83	77,113,66,119,24	11,35,7,25,22	298	149
103	410,662,354,929	47,108,228,198	389,472,195,355,366	70,165,138,260,135	298	149
104	4,4,1,1	12,6,19,6	27,44,26,73,18	51,39,51,79,97	281	149
105	103,51,60,133	4,23,28,7	15,11,12,26,4	0,0,0,0,0	298	149
106	0,0,3,0	0,0,13,0	2,4,6,0,5	0,6,0,0,0	268	149
108	29,35,57,91	0,0,2,4	11,10,10,33,6	0,0,0,0,0	233	149
109	18,63,87,92	3,22,73,13	56,100,92,66,74	51,163,53,61,35	298	149
110	104,422,288,403	91,288,255,201	51,159,104,214,161	258,155,148,355,101	230	149
111	6,57,129,70	239,632,1475,478	49,32,25,63,46	392,418,318,406,473	215	149
112	487,1327,1115,1115	4,30,18,18	1298,1782,1632,2003,1810	15,14,15,12,22	242	149
113	385,366,332,482	8,27,17,14	591,645,581,1080,694	12,27,23,30,13	242	149
114	25,30,34,82	0,10,126,2	12,19,16,19,15	0,1,4,0,4	247	149
115	9,19,12,16	0,0,2,0	17,17,38,11,29	0,0,0,0,0	298	149
117	0,8,137,25	0,0,43,0	36,68,64,92,67	46,39,34,51,67	298	149
118	8,22,6,18	0,2,2,0	16,54,29,34,31	1,0,4,1,2	230	149
119	8,18,23,9	0,0,0,1	4,15,11,11,22	0,0,0,0,0	298	149
120	4,37,34,26	0,0,0,2	9,29,37,9,15	0,0,0,0,0	298	149
121	0,18,13,5	0,0,4,2	3,4,0,1,1	0,0,0,0,0	298	149
122	15,14,17,34	0,5,27,18	10,17,38,23,14	34,28,22,30,25	298	149
123	14,22,2,7	1,4,0,3	36,33,45,58,42	0,13,5,6,7	215	149
124	2,2,12,0	0,4,0,0	22,24,16,26,18	0,6,4,2,2	256	149
125	209,419,569,397	2,2,70,16	65,166,95,168,107	0,2,0,0,0	235	149
126	50,41,50,95	5,1,4,2	19,46,23,52,15	1,4,0,7,3	220	149
127	46,75,31,42	0,2,9,0	34,30,40,65,34	0,0,0,6,2	298	149
128	47,21,108,45	0,0,0,0	20,43,20,15,36	0,0,0,4,0	233	149
129	188,362,398,295	0,10,5,3	273,450,465,477,450	46,39,63,53,69	298	149
130	111,226,241,117	0,5,8,4	237,279,256,266,377	9,0,4,14,4	230	149
131	24,116,112,122	25,9,46,14	134,265,206,245,210	47,33,38,30,56	298	149
132	63,210,276,155	0,0,0,0	226,375,278,286,301	0,0,1,1,0	298	149
133	246,402,286,311	74,133,247,109	96,113,146,155,171	106,121,151,151,86	237	149
134	787,2249,2374,1870	37,80,134,40	1762,2007,2113,2304,2207	39,56,97,94,64	245	149
135	2,5,59,1	2,8,38,10	2,0,2,2,4	10,15,10,26,8	212	149
136	1,0,106,8	7,10,10,0	0,2,2,0,8	0,0,0,0,0	206	149
137	26,133,228,96	0,0,10,0	19,41,27,22,12	0,0,0,0,0	298	149
139	26,114,136,44	0,0,8,0	58,129,114,180,112	0,0,0,20,2	230	149
140	1115,1593,361,847	24940,40627,8496,43584	151,196,211,191,166	3579,4713,5065,6200,5027	209	149
