ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
3085	138,60,10,269	0,0,0,0	117,261,185,259,104	10,0,0,0,0	224	149
3086	103,99,51,179	0,0,0,6	255,396,274,386,167	0,0,1,0,0	298	149
3087	23,21,4,117	0,0,0,1	2,3,2,4,5	0,0,0,0,0	298	149
3088	1103,2222,2154,1944	0,4,0,0	1746,2792,2991,3284,2470	0,2,0,0,0	298	149
3089	129,376,684,382	0,4,17,2	313,260,193,203,98	6,0,6,2,2	218	149
3090	96,186,170,50	0,0,0,0	183,130,77,57,72	0,4,1,0,0	298	149
3091	889,1498,353,1966	0,0,0,0	2777,4386,4012,5479,4754	10,0,3,25,0	298	149
3092	290,530,96,773	0,1,0,0	1106,1797,1728,2267,1824	8,10,0,20,0	298	149
3093	4,0,9,21	0,0,0,0	25,26,94,61,42	0,0,0,0,6	298	149
3094	189,378,107,466	0,1,0,0	1019,1608,1287,2181,1864	8,10,0,20,0	298	149
3095	788,1348,364,1659	0,0,0,0	2683,4197,3568,5372,4794	0,0,0,4,0	298	149
3096	709,1557,443,1646	2,4,1,0	2769,4483,3603,6190,4793	20,35,21,48,34	298	149
3097	189,378,107,466	0,0,0,0	1005,1611,1284,2157,1865	2,2,0,2,0	298	149
3098	256,455,95,542	0,0,0,0	788,1165,1042,1877,1362	2,2,0,2,0	284	149
3099	754,1750,495,1877	0,0,0,0	2585,3918,3411,5520,4056	0,0,0,2,0	284	149
3100	756,1588,416,1681	0,0,0,0	2466,3919,3250,5750,4167	0,3,0,1,1	284	149
3101	172,351,76,377	0,0,0,0	521,1144,1037,1704,989	0,0,0,1,0	298	149
3102	172,351,76,377	0,0,0,0	521,1147,1037,1703,990	0,0,0,1,0	298	149
3103	72,201,276,181	0,0,0,0	61,138,64,146,97	0,4,0,0,2	298	149
3104	213,450,442,500	35,49,507,19	222,320,465,488,360	135,173,105,162,93	281	149
3105	429,810,683,867	35,49,507,19	394,500,768,784,559	135,173,105,162,93	263	149
3106	101,184,167,248	0,0,0,0	187,356,241,390,210	0,1,0,1,0	275	149
3107	129,239,205,348	0,0,0,0	280,524,362,623,357	0,1,0,1,0	284	149
3108	6,20,33,35	0,0,0,0	26,76,19,22,2	0,0,0,0,7	295	149
3109	30,57,45,99	0,0,0,0	97,174,122,234,150	0,0,0,1,3	295	149
