ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
21525	19,74,19,53	0,0,0,0	79,137,76,133,146	0,0,0,0,2	300	149
21526	416,914,1172,938	1,41,25,13	716,860,908,864,945	16,13,11,20,27	416	149
21527	326,736,872,733	0,0,0,0	597,701,788,657,824	91,58,26,72,58	416	149
21528	240,547,636,474	0,0,0,0	364,579,505,711,562	91,58,26,72,58	257	149
21529	72,141,323,136	0,0,0,0	51,86,86,152,90	0,0,0,0,1	257	149
21530	331,679,864,657	0,0,0,0	465,726,617,912,665	0,6,5,17,8	257	149
21531	615,1248,1661,1072	0,0,0,0	648,872,814,848,829	0,6,5,17,8	692	149
21532	628,1264,1869,1082	289,577,792,570	650,885,850,866,834	428,707,610,846,624	692	149
21533	392,2920,8133,2012	0,8,8,5	15926,16529,8497,11806,9143	6,6,0,2,4	326	149
21534	82,1002,1588,624	15,189,41,120	3214,2817,1398,1802,2036	317,131,64,31,137	326	149
21535	433,3080,8214,2138	0,8,8,5	16466,16835,8799,12157,9312	6,6,0,2,4	314	149
21536	123,1162,1669,750	15,189,41,120	3754,3123,1700,2153,2205	317,131,64,31,137	314	149
21537	369,2554,7835,1796	0,8,8,5	16016,16842,8494,11836,9364	6,6,0,2,4	290	149
21538	62,649,1318,420	15,189,41,120	3324,3156,1401,1855,2261	317,131,64,31,137	290	149
21539	196,1040,3283,583	15,189,41,120	5634,5603,2704,3627,3265	317,131,64,31,137	204	149
21540	503,2919,9702,1964	5,0,26,4	18170,19093,9763,13389,10311	18,11,20,11,28	204	149
21541	349,1557,5661,1161	0,0,0,0	9014,9628,5063,6371,5451	0,0,6,34,0	241	149
21542	0,17,31,41	33,30,66,60	0,8,8,6,10	9,21,39,8,12	318	149
21543	7,23,80,77	0,4,2,17	25,11,43,17,58	10,0,4,6,2	361	149
21544	103,226,220,260	102,191,247,231	251,411,350,362,378	173,202,152,232,156	221	149
21545	141,379,303,317	0,0,0,0	261,432,455,367,412	0,4,0,0,0	219	149
21546	120,223,159,217	0,0,0,0	254,344,285,357,273	0,0,0,0,4	263	149
21547	152,266,264,334	102,191,247,231	401,560,420,622,428	173,202,152,232,156	369	149
21548	731,1495,1176,1306	10,19,21,5	872,1268,1030,1164,1250	3,1,3,5,7	425	149
21549	1534,5683,8382,3500	0,0,0,0	17338,11011,11357,10953,11256	0,0,2,0,0	358	149
21550	990,3444,4933,2318	0,0,0,0	9763,6757,6514,6313,6153	0,2,6,3,0	337	149
21551	845,2727,3933,1876	0,0,0,0	9217,6289,5938,5963,5856	0,2,6,3,0	341	149
21552	607,2276,3667,1618	0,0,4,6	3752,3046,2963,3461,1844	0,1,0,0,2	283	149
21553	450,1538,2633,1163	0,0,0,0	3064,2499,2289,3014,1479	2,6,0,1,0	283	149
21554	46,137,43,107	8,31,43,56	79,78,49,64,66	4,20,4,50,11	217	149
21555	989,2142,2119,2164	2,9,7,3	1311,1788,1489,1733,1525	0,4,2,0,4	621	149
21556	1264,2573,2840,2319	0,0,0,0	1940,2126,2213,2223,2158	0,0,0,2,0	424	149
21557	1470,3137,3394,2811	0,0,5,1	2225,2474,2458,2617,2394	24,36,25,33,54	424	149
21558	134,166,261,251	24,25,16,17	48,86,21,80,43	7,46,5,19,14	344	149
21559	484,1152,1084,1223	14,25,65,25	420,719,544,709,495	103,150,130,192,179	361	149
21560	509,1204,1108,1097	12,0,0,4	496,861,493,709,699	2,3,6,13,0	406	149
21561	1239,3456,2944,3829	0,0,0,0	1583,2625,1856,2682,2178	0,2,0,0,0	1494	149
21562	496,621,300,1039	5,20,15,2	54,218,87,128,122	1,21,11,38,26	299	149
