#Transcript position	Transcript coverage profile
0.0	0.9197936958082964
1.0	1.0437523494402359
2.0	1.2020373539701976
3.0	1.3454996905965497
4.0	1.2506903263184017
5.0	1.223273716441514
6.0	1.1793070476976306
7.0	1.8006586447963224
8.0	1.5338223131757731
9.0	1.7058700122780928
10.0	1.311788498083414
11.0	1.1278339939188684
12.0	1.0277537768055116
13.0	1.1621889774188974
14.0	1.3310681323625464
15.0	1.5467657443913447
16.0	1.2611336918378377
17.0	1.076246116385944
18.0	1.292458094167065
19.0	1.5712058265184297
20.0	1.237895978670905
21.0	1.2403369328912919
22.0	1.4113369590738256
23.0	1.141684818783613
24.0	1.0177501751151288
25.0	1.119023696250736
26.0	1.05656921223481
27.0	1.077994919247678
28.0	1.318734519469355
29.0	1.4329716131550225
30.0	1.3685466707789151
31.0	1.4531303607403012
32.0	1.7257255824311555
33.0	1.8170924312683636
34.0	1.9855951276218762
35.0	1.970001362156807
36.0	2.0837152045381955
37.0	2.3288173968414365
38.0	2.043349843370506
39.0	1.914481882511204
40.0	1.8167691451996777
41.0	1.923380033755779
42.0	1.7530570450533565
43.0	1.552029725102977
44.0	1.5737432913746352
45.0	1.364742099816098
46.0	1.4552370797555478
47.0	1.732714386301075
48.0	1.639192196830549
49.0	1.480104900968553
50.0	1.9364311458937253
51.0	1.9447232560734609
52.0	2.0482931388872667
53.0	2.227961488349347
54.0	1.9851473976293128
55.0	1.7692461632323038
56.0	1.6504320646296629
57.0	1.5660898586401812
58.0	1.9782526782334588
59.0	2.3212379305434716
60.0	2.3049152396028476
61.0	2.367195071366552
62.0	2.167127575304866
63.0	2.1286522235724767
64.0	2.229665010813089
65.0	2.3328945825387333
66.0	2.62561428360563
67.0	3.1455577995715798
68.0	3.0428924013155543
69.0	2.5957630333861355
70.0	2.080143738767525
71.0	1.9907212275022421
72.0	1.834888947493589
73.0	2.1556386792806874
74.0	1.9984805443570375
75.0	1.9880774517803395
76.0	1.987681043220393
77.0	2.0607349349169897
78.0	2.026069848767784
79.0	1.9611860779662336
80.0	1.8156381771003787
81.0	1.7457792900177722
82.0	1.8978935264682453
83.0	1.6986693995577888
84.0	1.7964021924774904
85.0	2.0015364956093755
86.0	1.6065356072615058
87.0	1.8105385436873132
88.0	2.200651859365506
89.0	2.25912562112838
90.0	2.3432640701124225
91.0	2.2795464193983173
92.0	2.2993533839773623
93.0	2.0520131306236817
94.0	1.9210679182266985
95.0	1.6341649244463963
96.0	1.6519117196799427
97.0	1.2245458467322043
98.0	0.9231271798208402
99.0	0.3726726109346052
