ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
86	96,456,410,392,360	21,23,230,92,96	279,453,362	495,403,723	230	149
87	4,4,10,0,13	0,0,0,0,0	84,12,8	9,2,0	380	149
88	27,162,28,79,64	2,131,46,35,32	2,0,0	0,8,2	336	149
90	0,0,0,0,7	0,0,0,0,0	32,6,17	4,5,31	223	149
91	14,48,60,43,52	0,0,5,0,5	212,65,74	4,2,3	389	149
92	108,951,286,764,236	0,58,13,27,8	1110,827,1586	193,68,159	210	149
93	1817,9639,13046,12288,11937	23306,123705,169024,190879,154777	19,33,23	237,313,310	150	149
94	215,1892,4162,2149,3077	18,91,265,74,231	121,132,117	15,26,36	209	149
95	338,3299,3194,3591,4168	0,3,0,4,1	2827,2755,2324	0,0,0	1206	149
96	97,1132,1062,1281,1361	6,37,83,61,81	1076,671,833	0,0,0	649	149
97	163,1436,1371,1570,1768	8,63,71,96,94	1273,840,1048	0,12,0	730	149
98	524,4437,4445,4887,5420	20,36,78,39,139	3433,3231,2972	84,51,27	1596	149
99	283,2270,2313,2577,2613	2,28,15,6,18	1682,1147,1481	6,4,2	1039	149
100	11,56,14,9,17	22,125,13,2,10	127,4,37	362,45,132	406	149
101	56,272,50,68,52	9,134,63,59,70	313,48,72	240,364,499	307	149
102	112,696,1173,1043,1117	60,1719,2278,2051,1444	23,62,43	146,412,305	281	149
103	3,18,23,6,8	0,2,0,0,0	50,70,52	5,0,1	323	149
105	0,4,0,0,0	0,0,0,0,0	0,0,0	0,0,8	369	149
106	2,26,16,16,1	0,0,0,6,0	122,1,19	0,4,0	233	149
107	46,165,287,350,246	1,7,73,44,31	518,225,258	137,111,242	706	149
108	73,441,416,831,415	63,215,377,722,282	363,233,332	622,843,1392	230	149
109	4,44,47,30,24	49,313,283,252,155	101,44,95	693,515,1031	215	149
110	129,956,574,742,423	0,31,6,0,2	753,610,1131	9,12,8	242	149
111	4,125,154,80,118	0,2,9,2,2	161,250,285	10,8,20	242	149
112	0,21,25,9,3	0,0,0,96,0	67,9,11	0,0,0	247	149
113	15,17,19,19,13	0,0,0,0,0	56,81,113	45,39,16	379	149
115	2,1,13,10,8	0,0,3,0,0	0,0,41	2,31,29	662	149
116	4,34,34,63,96	7,2,26,18,31	433,489,314	95,70,60	230	149
117	31,235,448,564,510	0,2,0,2,0	2629,2704,2453	7,10,3	1655	149
118	30,215,401,491,452	0,0,6,0,0	2399,2389,2197	0,0,2	1391	149
119	3,36,130,121,63	6,2,2,0,0	706,591,489	15,6,39	687	149
120	4,23,41,1,18	0,0,6,8,0	12,15,34	32,59,52	440	149
121	0,1,5,0,11	0,3,12,2,0	132,77,150	14,9,9	215	149
122	2,1,0,8,7	0,1,2,0,1	6,28,12	0,0,0	256	149
123	40,389,26,192,14	4,19,2,26,0	372,37,197	10,0,2	235	149
125	0,10,12,13,2	0,0,0,0,0	32,35,77	0,5,3	342	149
126	4,31,16,10,10	0,0,0,0,0	50,42,68	1,2,14	233	149
127	26,251,245,220,210	0,2,4,4,2	3836,3144,3477	158,208,192	360	149
128	8,103,98,64,67	0,0,19,0,14	1231,926,1560	57,64,81	230	149
129	109,508,754,593,1151	1,4,19,8,29	54,81,77	6,17,7	988	149
130	73,863,1086,529,909	0,0,0,0,0	3826,2169,1710	0,3,0	519	149
131	16,233,150,249,85	0,38,66,51,12	172,99,275	77,90,130	237	149
132	252,1626,1125,1026,1012	4,49,24,34,21	1578,1386,2460	177,239,315	245	149
133	0,12,4,0,5	2,14,19,9,34	4,1,20	33,52,69	212	149
134	0,2,1,4,2	0,5,0,0,4	8,6,2	8,0,6	206	149
135	202,1292,1905,1148,1229	0,45,48,10,15	339,165,225	0,6,4	2199	149
136	386,2297,3665,2195,2212	0,11,5,4,4	777,329,436	0,0,2	3365	149
137	6,53,50,48,33	0,6,2,0,0	57,26,68	0,0,0	230	149
138	0,4,30,16,22	28,116,1715,101,233	7,7,4	66,48,84	209	149
139	33,76,119,66,140	1,8,4,7,8	92,28,66	1,22,6	460	149
141	160,2475,1061,1648,344	12,205,102,131,77	716,480,1021	28,88,101	241	149
142	174,2817,1194,1812,355	2,169,104,65,25	768,511,1056	77,116,134	268	149
143	0,5,8,4,4	0,42,3,8,10	4,4,28	4,22,42	302	149
144	2,5,10,31,1045	0,5,867,997,4	6,129,133	256,95,101	236	149
145	2,5,188,231,1840	12,85,0,0,0	81,212,254	0,0,0	317	149
146	177,814,632,955,5593	0,0,41,25,0	349,486,782	9,7,6	803	149
147	2,12,74,101,38	5,18,125,107,35	0,13,0	8,17,12	239	149
150	4,25,9,24,27	0,44,10,10,24	16,10,10	4,10,6	254	149
151	6,1,13,2,4	0,3,9,2,0	14,19,33	10,14,20	233	149
152	218,2079,861,1057,307	28,486,436,427,228	2175,317,1487	80,60,150	469	149
153	0,6,10,24,2	0,16,13,16,14	2,0,2	0,1,1	219	149
154	0,6,10,24,2	0,0,0,6,2	2,0,2	2,0,0	222	149
155	12,120,64,104,48	2,23,25,25,26	250,105,237	197,156,178	236	149
156	0,23,5,13,14	0,6,2,10,4	22,4,18	50,21,49	292	149
157	0,2,10,0,0	0,0,0,0,0	10,30,44	36,28,58	239	149
158	4,53,52,148,70	0,11,12,22,3	1499,565,890	20,6,14	228	149
159	898,7959,16511,10050,84	0,0,0,132,6012	377,135,169	0,2,43	182	149
162	12,50,64,27,42	0,1,2,0,0	89,230,164	26,47,52	217	149
163	0,8,14,28,12	0,0,4,2,0	58,76,42	232,198,82	1096	149
164	154,1143,772,747,502	0,6,4,0,0	477,661,953	4,0,0	353	149
165	31,225,70,62,32	0,15,1,0,5	134,42,137	119,27,56	252	149
166	27,214,66,60,32	4,1,0,2,0	121,36,131	23,2,5	248	149
168	2,7,16,5,23	5,9,2,10,30	22,21,56	242,714,425	588	149
169	55,214,66,77,53	14,68,27,28,12	55,39,102	38,9,28	240	149
170	34,380,270,279,197	0,14,27,20,2	201,290,406	15,12,5	242	149
171	113,352,193,349,212	0,2,2,3,0	410,198,303	2,12,23	350	149
172	10,111,76,92,35	16,5,0,3,2	869,482,813	62,45,60	227	149
173	0,8,20,8,4	0,4,0,0,9	32,22,15	2,8,3	223	149
174	10,80,20,33,9	10,33,21,50,7	5,0,1	6,5,16	223	149
175	56,169,31,79,22	0,0,0,22,0	9,0,17	0,0,0	359	149
176	46,99,16,52,19	0,3,3,3,4	7,0,16	0,0,2	205	149
177	26,321,207,263,177	9,99,97,133,32	33,62,31	8,14,22	379	149
179	39,254,212,190,203	2,51,60,73,21	548,359,542	89,30,41	1094	149
180	0,0,6,0,0	0,0,10,0,0	0,2,0	0,0,0	222	149
181	243,1573,1923,1123,1406	16,119,142,90,142	2330,2538,1961	962,1058,1159	227	149
182	202,1087,3058,1614,1337	10,86,329,163,160	48,37,13	0,0,0	335	149
184	30,386,419,356,317	10,46,79,61,39	76,193,222	36,33,52	245	149
185	4,59,63,49,23	0,14,7,6,7	34,43,68	34,13,16	338	149
186	8,302,457,157,237	0,9,15,14,20	3180,1437,2220	108,76,116	248	149
187	2,11,12,11,1	14,94,20,46,22	18,5,22	104,24,102	209	149
188	0,29,46,45,10	4,58,67,52,13	16,21,49	183,130,105	293	149
189	82,1359,514,681,697	0,28,0,14,17	506,346,518	3,2,8	383	149
190	381,1209,1272,1713,1437	6,158,60,58,63	317,235,593	9,0,0	418	149
191	291,832,940,1103,1110	15,124,87,50,54	294,232,473	18,13,32	342	149
192	36,228,154,152,140	3,73,40,22,48	323,228,378	204,142,279	218	149
193	15,46,10,12,5	0,5,13,0,0	340,57,132	23,9,33	251	149
194	277,1393,977,1132,803	7,58,102,33,76	2579,1680,2070	694,534,618	941	149
196	32,203,198,188,225	0,10,4,0,4	1684,968,1419	15,56,70	309	149
197	71,403,201,645,175	88,468,413,960,462	488,147,182	292,254,226	259	149
198	44,813,977,858,1024	6,83,129,86,72	553,602,637	61,47,33	260	149
200	0,65,22,55,18	0,23,17,14,7	28,20,27	2,4,20	457	149
201	0,48,5,27,10	0,2,0,2,0	26,20,24	0,4,0	247	149
202	100,685,251,298,234	4,50,29,33,4	1560,750,1557	177,184,385	248	149
203	8,61,88,31,40	1,13,0,4,0	250,208,248	67,42,41	242	149
204	135,1207,1160,1142,679	0,32,34,39,36	1635,1416,2231	14,26,45	231	149
205	22,140,65,106,52	4,50,14,44,18	20,0,6	0,0,1	231	149
207	0,53,2,0,0	0,0,0,0,4	6,1,10	6,8,28	310	149
208	0,26,11,18,24	0,0,12,4,3	120,145,223	0,0,16	230	149
209	0,26,11,18,24	8,12,46,24,9	120,145,221	42,78,42	209	149
210	37,90,110,138,83	0,0,0,14,8	171,161,172	10,3,14	744	149
211	37,90,110,138,83	0,0,2,0,2	171,161,167	4,0,4	740	149
213	0,1,0,0,0	0,4,7,12,0	2,2,14	5,2,10	220	149
214	14,26,21,4,48	0,0,1,0,0	137,148,218	9,1,0	224	149
215	6,21,21,19,15	1,4,1,2,2	11,45,53	65,12,28	699	149
216	3,44,42,17,10	2,4,14,2,7	0,14,53	86,46,101	250	149
217	207,198,68,35,75	0,0,11,0,0	1404,296,498	11,2,8	362	149
218	47,407,453,655,800	0,0,0,2,8	326,224,288	14,0,0	670	149
220	13,46,9,118,1	0,4,10,2,23	0,3,6	0,0,0	230	149
223	1,8,8,2,0	15,130,14,21,0	47,30,23	269,19,170	218	149
224	1,37,3,13,14	0,1,0,0,0	422,46,130	47,7,7	238	149
225	26,2,25,2,12	0,0,0,0,0	60,35,77	2,4,0	239	149
228	21,54,229,34,34	12,0,0,0,0	21,36,72	0,6,0	246	149
229	333,1730,2287,1439,1701	11,134,284,176,126	4978,5353,5842	420,480,654	245	149
232	722,2463,1123,1452,1020	8,60,97,40,53	1231,1191,1363	112,140,183	245	149
233	12,165,216,166,95	4,4,40,13,11	333,188,229	21,43,22	215	149
235	21,54,57,85,136	14,28,59,41,20	133,120,118	64,97,103	382	149
236	0,68,62,65,70	0,0,4,0,0	28,29,9	4,10,0	267	149
237	26,443,73,168,45	3,27,17,51,14	1399,265,1678	63,62,67	234	149
238	4,47,9,34,24	2,4,0,2,14	180,52,94	122,0,63	218	149
239	229,1449,466,795,359	62,235,233,284,166	3869,1947,3244	2066,1900,2216	315	149
240	0,6,19,4,6	0,11,4,1,0	19,31,43	18,5,14	230	149
241	71,297,37,111,68	11,12,1,2,0	332,100,276	17,1,9	257	149
242	7,159,67,224,390	0,0,7,22,64	53,24,34	4,0,0	224	149
243	15,165,88,241,403	6,112,130,199,70	53,24,34	4,4,3	227	149
244	152,1874,1243,2496,1574	1,70,83,75,75	455,596,592	24,43,66	239	149
245	64,332,186,233,280	0,8,24,8,10	877,855,1445	42,31,71	239	149
