5-HT2beta	GO:0001591,GO:0004930,GO:0016020,GO:0071880
A4	GO:0005576,GO:0006869,GO:0008289
AChE-2	GO:0001507,GO:0003990,GO:0005615,GO:0005886,GO:0019695
Acph-1	GO:0016311,GO:0016791
Adk1	GO:0004017,GO:0005524,GO:0005737,GO:0005829,GO:0009142
AGLU2	GO:0005975
Amih	GO:0005249,GO:0006813,GO:0016020,GO:0055085
Argk	GO:0004111,GO:0046314
aub	GO:0005515,GO:0031047,GO:0034584,GO:0043186
brp	GO:0007274,GO:0048167,GO:0048788,GO:0048790,GO:0098882
C1q-VP	GO:0005515
cad	GO:0000977,GO:0000981,GO:0005634,GO:0006357,GO:0009790,GO:0009887,GO:0009948,GO:0030154
Cpap3-b	GO:0005576,GO:0008061
Cpap3-c	GO:0005576,GO:0008061
Cpap3-d	GO:0005576,GO:0008061
CPR11	GO:0005615,GO:0031012
CPR14	GO:0008010,GO:0062129
CPR17	GO:0008010,GO:0062129
CPR2	GO:0005615,GO:0031012
CPR22	GO:0008010,GO:0062129
CPR27	GO:0008010,GO:0062129
CPR28	GO:0008010,GO:0062129
CPR3	GO:0005615,GO:0031012
CPR5	GO:0005615,GO:0031012
crh-BP	GO:0005615,GO:0009755,GO:0051424,GO:0051460,GO:1900011
Cyp314a1	GO:0004497,GO:0005506,GO:0016705,GO:0020037
CYP6AQ1	GO:0004497,GO:0005506,GO:0016705,GO:0020037
Cyp6as5	GO:0004497,GO:0005506,GO:0016705,GO:0020037
CytC	GO:0005758,GO:0006122,GO:0006123,GO:0009055,GO:0020037,GO:0043280
Dsx	GO:0000978,GO:0000981,GO:0005634,GO:0006357,GO:0007548
Eaat-2	GO:0005313,GO:0005886,GO:0015175,GO:0015501,GO:0015813
Ecr	GO:0000122,GO:0000978,GO:0004879,GO:0005634,GO:0008270,GO:0030154,GO:0035076,GO:0035100,GO:0045944
Ef-1a-f1	GO:0003746,GO:0003924,GO:0005525,GO:0006412,GO:0006414
Emc	GO:0000122,GO:0005634,GO:0005737,GO:0030154,GO:0032922,GO:0046983,GO:0140110
eve	GO:0000978,GO:0000981,GO:0005634,GO:0006357
Fabp	GO:0005504,GO:0005634,GO:0005829,GO:0015908
For	GO:0004692,GO:0005524,GO:0006468
Gfat2	GO:0004360,GO:0006002,GO:0006047,GO:0006487,GO:0097367,GO:1901137
GlnS	GO:0004356,GO:0005737,GO:0006542
Glob1	GO:0005576,GO:0005833,GO:0015671,GO:0019825,GO:0020037
GluCl	GO:0004888,GO:0005230,GO:0005254,GO:0007165,GO:0007268,GO:0016020,GO:0030594,GO:0042391,GO:0043005,GO:0045202,GO:0050877,GO:1902476
Glurb	GO:0001640,GO:0007186,GO:0016020
GstD1	GO:0004364,GO:0006749
GstS4	GO:0004364,GO:0006749
Gycbeta1	GO:0004383,GO:0006182,GO:0008074,GO:0019934,GO:0020037,GO:0070482
Hb	GO:0000977,GO:0000981,GO:0005634,GO:0006357
Hbg3	GO:0005975
Ip3k	GO:0005634,GO:0005737,GO:0008440,GO:0032958,GO:0051765
JHBP-1	GO:0005615,GO:0032504
Kr	GO:0005634,GO:0010468
LOC100576125	GO:0006999,GO:0030674,GO:0070762
LOC100576130	GO:0005179,GO:0005576
LOC100576179	GO:0005930,GO:0060271
LOC100576217	GO:0004016,GO:0005515,GO:0005737,GO:0009190,GO:0035556
LOC100576221	GO:0000977,GO:0000981,GO:0005634,GO:0006357
LOC100576224	GO:0004089,GO:0005737,GO:0008270
LOC100576246	GO:0004984,GO:0005549,GO:0005886,GO:0007608,GO:0050911
LOC100576251	GO:0000978,GO:0000981,GO:0005634,GO:0006357
LOC100576261	GO:0000978,GO:0000981,GO:0005634,GO:0006357
LOC100576270	GO:0005829,GO:0019239,GO:1901565
LOC100576282	GO:0004984,GO:0005549,GO:0005886,GO:0007608,GO:0050911
LOC100576290	GO:0003341,GO:0005858,GO:0045503,GO:0045504
LOC100576293	GO:0000978,GO:0000981,GO:0006355
LOC100576374	GO:0000724,GO:0031297,GO:0043596
LOC100576383	GO:0000139,GO:0004571,GO:0004984,GO:0005509,GO:0005549,GO:0005783,GO:0005975,GO:0006491,GO:0007608
LOC100576384	GO:0004725,GO:0005515,GO:0006470
LOC100576401	GO:0008080
LOC100576412	GO:0005515
LOC100576421	GO:0005634,GO:0140110
LOC100576454	GO:0019230,GO:0042330,GO:0050954,GO:0071683
LOC100576458	GO:0015204,GO:0016020,GO:0071918
LOC100576460	GO:0005509,GO:0019722,GO:0019900
LOC100576482	GO:0005634,GO:0005813,GO:0005814,GO:0015631,GO:0060271,GO:0061511
LOC100576497	GO:0004144,GO:0005886,GO:0019432,GO:0047196
LOC100576502	GO:0008270
LOC100576508	GO:0008146,GO:0016020
LOC100576512	GO:0005576,GO:0008200
LOC100576555	GO:0140575
LOC100576569	GO:0031012
LOC100576584	GO:0005096,GO:0005634,GO:0005829,GO:0006913,GO:0031267,GO:0048471,GO:0090630
LOC100576625	GO:0003723,GO:0007283
LOC100576677	GO:0000400,GO:0000723,GO:0000724,GO:0003697,GO:0005524,GO:0005657,GO:0005813,GO:0007131,GO:0033063,GO:0042148,GO:0140664
LOC100576683	GO:0001653,GO:0004383,GO:0006182,GO:0007168,GO:0035556
LOC100576700	GO:0046983
LOC100576703	GO:0005525
LOC100576734	GO:0004984,GO:0005549,GO:0005886,GO:0007608,GO:0050911
LOC100576745	GO:0005515
LOC100576746	GO:0001750,GO:0004930,GO:0007186,GO:0016020
LOC100576826	GO:0005886,GO:0007605
LOC100576828	GO:0005634,GO:0007140,GO:0007283,GO:0034587,GO:0043186,GO:0043565,GO:0045892,GO:0060964
LOC100576831	GO:0016020
LOC100576839	GO:0004984,GO:0005549,GO:0005886,GO:0007608,GO:0050911
LOC100576864	GO:0005813,GO:0005814,GO:0007099,GO:0051299,GO:1902017,GO:1902410
LOC100576878	GO:0003700,GO:0006355
LOC100576895	GO:0005777,GO:0035336,GO:0080019
LOC100576901	GO:0004692,GO:0005524,GO:0006468
LOC100576903	GO:0005515
LOC100576934	GO:0019991
LOC100576940	GO:0004984,GO:0005549,GO:0005886,GO:0007608,GO:0050911
LOC100576953	GO:0004017,GO:0004127,GO:0004550,GO:0005524,GO:0005737,GO:0009142
LOC100576989	GO:0004843,GO:0016579
LOC100576992	GO:0004984,GO:0005549,GO:0005886,GO:0007608,GO:0050911
LOC100577002	GO:0003993,GO:0052745
LOC100577019	GO:0030431,GO:0032222,GO:1903818
LOC100577024	GO:0004984,GO:0005549,GO:0005886,GO:0007608,GO:0050911
LOC100577026	GO:0003824,GO:0030151,GO:0030170
LOC100577030	GO:0004983,GO:0005886,GO:0007186,GO:0042277
LOC100577064	GO:0005615,GO:0032504
LOC100577082	GO:0004144,GO:0005886,GO:0019432,GO:0047196
LOC100577120	GO:0000776,GO:0004674,GO:0004712,GO:0005524,GO:0005634,GO:0005819,GO:0007059,GO:0007094,GO:0018105,GO:0033316,GO:0034501
LOC100577127	GO:0005634,GO:0006364
LOC100577135	GO:0006898,GO:0008104,GO:0016324,GO:0030139
LOC100577138	GO:0004115,GO:0005515,GO:0007165,GO:0047555
LOC100577163	GO:0005515,GO:0005615,GO:0031012
LOC100577174	GO:0000978,GO:0001228,GO:0005634,GO:0006357
LOC100577180	GO:0005515,GO:0005634,GO:0006357
LOC100577220	GO:0000978,GO:0000981,GO:0005634,GO:0006357,GO:0007417
LOC100577229	GO:0005615,GO:0031012
LOC100577235	GO:0005515
LOC100577254	GO:0005249,GO:0006813,GO:0016020,GO:0055085
LOC100577343	GO:0016020
LOC100577351	GO:0007131,GO:0035861
LOC100577365	GO:0000978,GO:0000981,GO:0005634,GO:0006357,GO:0007275,GO:0030182
LOC100577376	GO:0005245,GO:0005891
LOC100577397	GO:0008083,GO:0016020,GO:0035099
LOC100577401	GO:0003712,GO:0005515,GO:0005634,GO:0005667,GO:0006355,GO:0090309
LOC100577425	GO:0008285
LOC100577456	GO:0005509
LOC100577472	GO:0000981,GO:0000987,GO:0005634,GO:0007409,GO:0045944,GO:0048665
LOC100577492	GO:0005515,GO:0005856
LOC100577499	GO:0000776,GO:0031262
LOC100577501	GO:0005643
LOC100577543	GO:0000978,GO:0003700,GO:0006357
LOC100577548	GO:0000226,GO:0000278,GO:0003924,GO:0005200,GO:0005525,GO:0005737,GO:0005874
LOC100577562	GO:0008010,GO:0062129
LOC100577574	GO:0005249,GO:0008076,GO:0044325,GO:0099104
LOC100577576	GO:0005576,GO:0008061
LOC100577578	GO:0000413,GO:0003755,GO:0008270
LOC100577580	GO:0003924,GO:0005525,GO:0060170,GO:0097500,GO:0097730,GO:1905515
LOC100577584	GO:0009374
LOC100577603	GO:0000978,GO:0000981,GO:0005634,GO:0006357,GO:0007420
LOC100577623	GO:0003700,GO:0006355
LOC100577629	GO:0005102,GO:0005509,GO:0005576,GO:0009986,GO:0048856
LOC100577636	GO:0032589,GO:0050808
LOC100577649	GO:0005524,GO:0005634,GO:0005876,GO:0007018,GO:0008017,GO:0008574,GO:0090307
LOC100577678	GO:0003676
LOC100577679	GO:0003688,GO:0005634,GO:0005664,GO:0006260
LOC100577682	GO:0016020,GO:0019991
LOC100577692	GO:0000978,GO:0003700,GO:0006357
LOC100577699	GO:0005739,GO:0009396,GO:0030272,GO:0035999
LOC100577722	GO:0000278,GO:0000940,GO:0005876,GO:0007059,GO:0008017,GO:0031110,GO:0051301,GO:0072686
LOC100577725	GO:0005576,GO:0008061
LOC100577754	GO:0003676,GO:0008270
LOC100577787	GO:0004984,GO:0005549,GO:0005886,GO:0007608,GO:0050911
LOC100577815	GO:0005509
LOC100577833	GO:0000786,GO:0003690,GO:0005634,GO:0006334,GO:0030261,GO:0030527,GO:0031492,GO:0045910
LOC100577877	GO:0000977,GO:0000981,GO:0005634,GO:0006357
LOC100577879	GO:0004089,GO:0008270
LOC100577885	GO:0000387,GO:0015030,GO:0030619,GO:0030620
LOC100577913	GO:0005634,GO:0005737,GO:0030162,GO:0031625,GO:0043161
LOC100577976	GO:0005737,GO:0019207,GO:0051018,GO:0060828
LOC100578005	GO:0030515,GO:0031428,GO:0032040
LOC100578011	GO:0031262,GO:0051315
LOC100578020	GO:0000724,GO:0003697,GO:0097196
LOC100578042	GO:0016747
LOC100578044	GO:0003723,GO:0005515
LOC100578055	GO:0007165
LOC100578059	GO:0005515
LOC100578067	GO:0000978,GO:0000981,GO:0005634,GO:0006357,GO:0009952,GO:0046983,GO:0050767
LOC100578084	GO:0005515
LOC100578089	GO:0005736,GO:0006352
LOC100578112	GO:0004127,GO:0005524,GO:0005634,GO:0005737,GO:0006225,GO:0033862,GO:0046705
LOC100578129	GO:0000278,GO:0005524,GO:0005874,GO:0007018,GO:0008017,GO:0008574
LOC100578168	GO:0006486,GO:0016020,GO:0036065,GO:0046920
LOC100578205	GO:0008017,GO:0051225,GO:0070652,GO:1990498
LOC100578207	GO:0015280,GO:0016020,GO:0035725
LOC100578233	GO:0003352,GO:0005858,GO:0005930,GO:0060285,GO:0070286
LOC100578236	GO:0003723,GO:0005737,GO:0005844
LOC100578255	GO:0005096,GO:0005516,GO:0005737,GO:0032956,GO:0043087,GO:0051015
LOC100578289	GO:0000978,GO:0003700,GO:0006357
LOC100578307	GO:0003993,GO:0052745
LOC100578314	GO:0008028
LOC100578321	GO:0005515,GO:0005794,GO:0006629
LOC100578334	GO:0000977,GO:0000981,GO:0006357,GO:0032502,GO:0046983
LOC100578346	GO:0005515
LOC100578400	GO:0004984,GO:0005549,GO:0005886,GO:0007608,GO:0050911
LOC100578406	GO:0005634,GO:0006357
LOC100578420	GO:0005515
LOC100578428	GO:0005811,GO:0005829,GO:0010890,GO:0019915
LOC100578512	GO:0003341,GO:0005930,GO:1904158
LOC100578530	GO:0000724,GO:0005634,GO:0008270,GO:0016925,GO:0030915,GO:0061665
LOC100578561	GO:0000978,GO:0000981,GO:0006357
LOC100578579	GO:0005515
LOC100578614	GO:0005737,GO:0005868,GO:0007018,GO:0045505
LOC100578617	GO:0004984,GO:0005549,GO:0005886,GO:0007608,GO:0050911
LOC100578621	GO:0005615,GO:0031012
LOC100578649	GO:0004675,GO:0016020
LOC100578651	GO:0016020
LOC100578662	GO:0004930,GO:0007166,GO:0007186,GO:0016020
LOC100578664	GO:0005215,GO:0006810
LOC100578674	GO:0005634,GO:0005737,GO:0007052,GO:0007059,GO:0007346,GO:0008017,GO:0023052,GO:0031616,GO:0051382,GO:0051642
LOC100578685	GO:0004984,GO:0005549,GO:0005886,GO:0007608,GO:0050911
LOC100578699	GO:0008201,GO:0009986
LOC100578714	GO:0005515,GO:0019005,GO:0031146,GO:0031398
LOC100578716	GO:0005515
LOC100578718	GO:0003677
LOC100578719	GO:0005121,GO:0005576,GO:0008083,GO:0008592,GO:0021556,GO:0045087
LOC100578726	GO:0005813,GO:0005814,GO:0007052,GO:0007224,GO:0051298,GO:0071539
LOC100578727	GO:0005515
LOC100578733	GO:0016747
LOC100578746	GO:0003906,GO:0005634,GO:0006302,GO:0008408,GO:0035861
LOC100578773	GO:0003676,GO:0008270
LOC100578774	GO:0005515
LOC100578780	GO:0000977,GO:0000981,GO:0006357,GO:0032502,GO:0046983
LOC100578810	GO:0016020,GO:0022857,GO:0055085
