Dop1	GO:0004930,GO:0016020,GO:0071880
Dop3	GO:0001591,GO:0004930,GO:0016020,GO:0071880
DopR2	GO:0004930,GO:0016020,GO:0071880
Dscam	GO:0005886,GO:0007156,GO:0007411,GO:0030424,GO:0070593,GO:0098632
Dsx	GO:0000978,GO:0000981,GO:0005634,GO:0006357,GO:0007548
E74	GO:0000981,GO:0005634,GO:0006357,GO:0030154,GO:0043565
E75	GO:0000122,GO:0000978,GO:0004879,GO:0008270,GO:0009755,GO:0030154,GO:0045944
Eaat-2	GO:0005313,GO:0005886,GO:0015175,GO:0015501,GO:0015813
ecd	GO:0005634
Ecr	GO:0000122,GO:0000978,GO:0004879,GO:0005634,GO:0008270,GO:0030154,GO:0035076,GO:0035100,GO:0045944
Ef-1a-f1	GO:0003746,GO:0003924,GO:0005525,GO:0006412,GO:0006414
EF1a-F2	GO:0003746,GO:0003924,GO:0005525,GO:0006412,GO:0006414
egh	GO:0005737,GO:0019187
Eif3h	GO:0003743,GO:0005515,GO:0005737,GO:0005829,GO:0005852,GO:0008237,GO:0016282,GO:0042788
Eif4g	GO:0003729,GO:0003743,GO:0005515,GO:0016281
Emc	GO:0000122,GO:0005634,GO:0005737,GO:0030154,GO:0032922,GO:0046983,GO:0140110
EphR	GO:0005005,GO:0005515,GO:0005524,GO:0005886,GO:0006468,GO:0007169,GO:0007411,GO:0043005
Err	GO:0003700,GO:0003707,GO:0005496,GO:0005634,GO:0006355,GO:0008270,GO:0043565
Ets97D-like	GO:0000981,GO:0005634,GO:0006357,GO:0030154,GO:0043565
eve	GO:0000978,GO:0000981,GO:0005634,GO:0006357
Eyg	GO:0000978,GO:0000981,GO:0006357,GO:0048856
Fabp	GO:0005504,GO:0005634,GO:0005829,GO:0015908
FAR1	GO:0005777,GO:0035336,GO:0080019
For	GO:0004692,GO:0005524,GO:0006468
Foxp	GO:0000978,GO:0000981,GO:0005634,GO:0006357
Fstl5	GO:0005509,GO:0005515,GO:0005615,GO:0007275,GO:0030154,GO:0030510
Gat-1B	GO:0016020,GO:0035725
Gat-a	GO:0016020,GO:0035725
Gfat2	GO:0004360,GO:0006002,GO:0006047,GO:0006487,GO:0097367,GO:1901137
GlnS	GO:0004356,GO:0005737,GO:0006542
Glob1	GO:0005576,GO:0005833,GO:0015671,GO:0019825,GO:0020037
GluCl	GO:0004888,GO:0005230,GO:0005254,GO:0007165,GO:0007268,GO:0016020,GO:0030594,GO:0042391,GO:0043005,GO:0045202,GO:0050877,GO:1902476
Glurb	GO:0001640,GO:0007186,GO:0016020
Gpdh	GO:0005829,GO:0005975,GO:0006116,GO:0009331,GO:0042803,GO:0046168,GO:0047952,GO:0051287
Gr10	GO:0004930,GO:0007186,GO:0016020,GO:0030424,GO:0030425,GO:0043025,GO:0050909
